umap_x,umap_y,umap_z,department,culture,medium,object_name,object_begin_date
-1.0493728,-6.869707,3.0315266,Arms and Armor,Japanese,Wood,Helmet crest (maidate),1590
5.1381817,-0.20509945,-4.1439905,Asian Art,China,Porcelain with colored glazes,Figure,1667
-2.4963245,0.51544195,-7.2592306,Ancient Near Eastern Art,Iran,"Glass, Egyptian Blue",Goblet,-900
-6.0624733,-2.4492486,-7.299179,Medieval Art,Coptic,Pottery fragment with ink inscription,Ostrakon,600
-0.27366245,0.141328,-1.9336339,Drawings and Prints,Unknown,"Cut paper silhouette, pen and ink, brush and brown wash, and white chalk",Cut paper; drawing,1825
-10.374814,-4.719919,-2.1600018,Drawings and Prints,Unknown,Etching,Print,1756
-3.647988,-8.788722,10.77947,Drawings and Prints,Unknown,Albumen photograph,Print,1880
-7.4296336,-0.86271435,2.595779,Egyptian Art,Unknown,Faience,"Beads, string",-1981
0.19246091,-7.1666102,-5.286873,European Sculpture and Decorative Arts,"German, Augsburg","Silver gilt, enamel",Canister,1645
6.8319716,6.856428,-0.16105568,Costume Institute,American,"steel, cotton",Bustle,1882
0.52953994,9.344971,11.984283,Drawings and Prints,Unknown,Illustrations: engraving,Book,1807
0.86082065,7.3472896,-3.2762842,Costume Institute,American,"(a) wool, silk; (b) wool",Morning suit,1955
2.4377298,4.702873,-1.5961199,Photographs,Unknown,Gelatin silver print,Photograph,1914
-3.1422718,2.1958919,4.111551,Asian Art,"India (Madhya Pradesh, Malwa)",Ink and opaque watercolor on paper,Folio,1620
-5.650139,2.0243115,5.8857183,Photographs,Unknown,Salted paper print from paper negative,Photograph,1854
-0.32581285,5.3311906,-1.9670624,Photographs,Unknown,Film negative,Negative,1930
-2.5561607,0.3468572,3.8951926,"Arts of Africa, Oceania, and the Americas",Chimú or Chancay,"Silver (hammered), copper, wood",Stick,1100
-0.13180067,3.951135,-1.9034184,Drawings and Prints,Unknown,Etching and aquatint,Print,1955
-3.140963,2.2209258,4.1144457,European Sculpture and Decorative Arts,"German, Westerwald",Salt-glazed stoneware,Jug,1643
-5.66454,8.048149,6.7231665,European Sculpture and Decorative Arts,"French, Sèvres","Hard-paste porcelain, wood",Chessmen,1923
10.088428,0.5859064,-0.4885325,Drawings and Prints,Unknown,Wood engraving,Print,1832
0.56511724,8.117998,11.932617,Photographs,Unknown,Platinum print,Photograph,1890
3.9236095,0.06568527,5.5417566,Drawings and Prints,Unknown,Pen and black ink,Drawing,1582
2.2289953,-10.809535,-1.8504046,Asian Art,Japan,Silk,Piece,1700
0.28573155,0.28894594,9.955997,Drawings and Prints,Unknown,Illustrations: lithographs on zinc (zincography),Book ; Ornament and Architecture,1840
4.0038633,5.1077476,6.330067,Arms and Armor,French,"Steel, gold, silver",Poignard,1550
-4.396447,3.301608,-4.3201747,Drawings and Prints,Unknown,Commercial photolithograph,Print,1940
-8.179323,7.9557414,0.10945226,Drawings and Prints,Unknown,Etching; only state,Print,1770
0.6112783,-4.945711,2.3104482,Drawings and Prints,Unknown,Commercial process illustration with hand coloring,Print,1888
1.6083031,-1.106573,0.7624165,Drawings and Prints,Unknown,"Pen and brown ink, red and brown wash, red chalk, over black chalk or graphite",Drawing,1673
8.271983,5.5377855,-0.80102706,The American Wing,American,"Painted yellow poplar, red oak, white pine",Kast,1690
0.7013972,-3.656167,9.843632,Arms and Armor,probably Tibetan,"Iron, leather",Armored belt,1601
9.493769,3.0518925,1.723221,Drawings and Prints,Unknown,Etching,"Print
Ornament & Architecture",1540
6.392988,-3.1145926,-5.144043,Islamic Art,Unknown,"Silk, metal thread",Sash,1600
-6.2449775,-0.7337902,8.19568,European Sculpture and Decorative Arts,British,Bronze,Medal,1873
-3.8790925,-2.081261,-1.3061836,Drawings and Prints,Unknown,Unknown,Book,1900
7.100966,0.18685022,8.508687,Drawings and Prints,Unknown,Engraving; first state of three,Print,1594
-0.45830387,4.688837,-1.8671852,Modern and Contemporary Art,Unknown,Oil on canvas,Painting,1940
-1.3689407,-4.814487,-8.03141,Egyptian Art,Unknown,"Limestone, paint","Talatat, Akhenaten, duck",-1353
-1.4178118,4.267863,-7.1050463,Photographs,Unknown,Film negative,Negative,1930
8.029279,3.0253289,5.179283,Asian Art,Japan,"Timber bamboo, rattan, and lacquer",Basket,1946
-4.1702504,-3.8084118,5.1568995,Greek and Roman Art,"Greek, Eastern Mediterranean",Glass,Bead or gaming piece,-399
-3.7071638,10.789057,-3.6211452,Asian Art,China,Album leaf; ink on silk,Album leaf,1368
0.8583636,7.541073,-2.8743684,Costume Institute,American,"cotton, elastic",Bathing suit,1953
-9.228853,-1.5725471,12.463995,Drawings and Prints,Unknown,Commercial color lithograph,Baseball card,1955
-4.1791353,-3.6263485,5.0332856,Asian Art,Northwest China,Bronze,Yoke ornament,-499
7.0954967,6.5828457,-0.29160088,Costume Institute,American,wool,Suit,1862
3.4296231,0.73961705,-2.1206882,Drawings and Prints,Unknown,Engraving and etching,Print,1650
5.3614187,7.920596,17.04311,Drawings and Prints,Unknown,Albumen photograph,Photograph,1890
-6.973957,-2.2444658,-5.377479,Drawings and Prints,Unknown,Black ink on carved spruce woodblock,Block,1911
-2.6768615,-2.4435227,-1.5199808,Drawings and Prints,Unknown,Etching and engraving,Print,1893
-4.757042,-9.825461,-7.2466216,Drawings and Prints,Unknown,Lithograph,Print,1935
5.131372,2.9494214,8.435744,"Arts of Africa, Oceania, and the Americas",Ibibio peoples,"Wood, leather, metal",Marionette,1800
5.0260153,-6.159324,13.842851,Drawings and Prints,Unknown,Commercial color lithograph,Baseball card,1961
4.3561845,2.4035575,-5.5816107,Drawings and Prints,Unknown,Commercial photolithograph,"Print, baseball",1925
7.738391,8.498083,2.1029692,Egyptian Art,Unknown,Faience,"Foundation Deposit, animal part",-1295
0.29069287,-0.3648784,-5.331759,Asian Art,China,Amber,Snuff bottle with stopper,1736
-0.019956619,-0.75566113,-7.5234327,Drawings and Prints,Unknown,Etching [11 plates on 7 sheets],Book Print Ornament and architecture,1740
12.486089,-2.2597766,-2.7190528,Photographs,Unknown,Film negative,Negative,1935
-9.221491,0.15813857,1.1743675,Egyptian Art,Unknown,Pottery,Pot,-664
-2.4318163,-11.810496,-0.82415986,Medieval Art,European,Colorless glass,Fragment,1400
4.941279,-7.512063,8.689508,Greek and Roman Art,Cypriot,Bronze,"Chains, 3",-3900
5.183249,-4.0713506,-0.4220566,Drawings and Prints,Unknown,Pen and brown ink over black chalk underdrawing.  On beige paper,Drawing,1540
0.6051081,-4.994334,2.4356709,Drawings and Prints,Unknown,Lithograph printed in four colors on machine wove paper,Print,1895
-1.9130177,8.024779,-4.88679,Egyptian Art,Unknown,Glass,Bottle,2
-1.0328608,5.5662317,-10.290169,Costume Institute,French,"silk, nylon",Cocktail Dress,1958
5.5845485,-6.2514906,6.632555,Islamic Art,Unknown,Earthenware; incised decoration through white slip and coloring under transparent glaze,Ceramic fragment,1300
-9.201286,-6.8240685,-10.471205,Photographs,Unknown,Albumen silver print from glass negative,Photograph,1865
-6.9191756,-2.302021,-5.4457774,Drawings and Prints,Unknown,Woodcut,Print,1940
3.13597,-3.1153505,3.1135454,"Arts of Africa, Oceania, and the Americas",Philippines,"abaca, cotton, beads",Bag,1900
-10.295464,-4.670676,-2.1074357,Drawings and Prints,Unknown,Etching and engraving,Print,1737
-4.3736897,-1.9126115,-1.0671538,Drawings and Prints,Unknown,Etching,Print,1981
-2.5715585,0.4250932,-7.2145185,Ancient Near Eastern Art,Iran,Bronze,Spearhead,-1400
-2.127683,3.9694314,-1.3953674,Photographs,Unknown,Photo-offset lithograph,Photomechanical print,1960
4.1564064,7.706073,3.193238,Egyptian Art,Unknown,White glass,"Beads, string",-1295
0.19007105,-1.8298023,0.4143874,Drawings and Prints,Unknown,Engraving,Print,1738
-9.228869,-1.5725416,12.464021,Drawings and Prints,Unknown,Commercial color lithograph,Baseball card,1955
0.3745418,6.277581,4.7058754,Costume Institute,French,"silk, glass, leather",Evening shoes,1963
-6.599808,-7.015164,8.666412,Greek and Roman Art,"Greek, Attic",Terracotta,Skyphoi fragments,-530
10.8180685,-2.6213386,-14.136881,Greek and Roman Art,"Greek, Attic",Terracotta,Kylix fragment,-530
-3.0740087,5.113359,-6.6923704,European Sculpture and Decorative Arts,European,Lapis lazuli,Necklace,1800
3.9015024,4.8971725,10.492824,Drawings and Prints,Unknown,Commercial color lithograph,Print,1913
-11.714875,-13.29029,-0.3806823,Greek and Roman Art,"Greek, Attic",Terracotta,Bell-krater fragment,-530
-1.6493144,-2.0912125,1.0682338,Drawings and Prints,Unknown,Relief print (wood or metal),Print; decorative paper,1775
0.2754338,-1.5392756,6.1987557,"Arts of Africa, Oceania, and the Americas",Mezcala,Stone,Architectural model,1
-6.734278,6.1378407,-3.8552454,The American Wing,American,Graphite on paper,Drawing,1905
-3.4054503,-7.6304655,1.7909158,The American Wing,American,Watercolor and graphite on white wove paper,Watercolor,1865
8.560822,7.2664714,-3.5905945,Egyptian Art,Unknown,Blue glazed steatite,Scarab,-1640
2.1152294,14.395935,-10.513515,Drawings and Prints,Unknown,Albumen photograph,Photograph,1890
7.8204017,-7.4105854,12.481318,Drawings and Prints,Unknown,Commercial color lithograph,Print,1890
3.1489682,0.13724683,-9.572336,Drawings and Prints,Unknown,Etching,Print,1606
